"round","Group","team1","team2"
0,"A","Russia","Saudi Arabia"
0,"A","Egypt","Uruguay"
0,"B","Morocco","Iran"
0,"B","Portugal","Spain"
0,"C","France","Australia"
0,"D","Argentina","Iceland"
0,"C","Peru","Denmark"
0,"D","Croatia","Nigeria"
0,"E","Costa Rica","Serbia"
0,"F","Germany","Mexico"
0,"E","Brazil","Switzerland"
0,"F","Sweden","South Korea"
0,"G","Belgium","Panama"
0,"G","Tunisia","England"
0,"H","Colombia","Japan"
0,"H","Poland","Senegal"
0,"A","Russia","Egypt"
0,"B","Portugal","Morocco"
0,"A","Uruguay","Saudi Arabia"
0,"B","Iran","Spain"
0,"C","Denmark","Australia"
0,"C","France","Peru"
0,"D","Argentina","Croatia"
0,"E","Brazil","Costa Rica"
0,"D","Nigeria","Iceland"
0,"E","Serbia","Switzerland"
0,"G","Belgium","Tunisia"
0,"F","South Korea","Mexico"
0,"F","Germany","Sweden"
0,"G","England","Panama"
0,"H","Japan","Senegal"
0,"H","Poland","Colombia"
0,"A","Saudi Arabia","Egypt"
0,"A","Uruguay","Russia"
0,"B","Iran","Portugal"
0,"B","Spain","Morocco"
0,"C","Australia","Peru"
0,"C","Denmark","France"
0,"D","Nigeria","Argentina"
0,"D","Iceland","Croatia"
0,"F","Mexico","Sweden"
0,"F","South Korea","Germany"
0,"E","Serbia","Brazil"
0,"E","Switzerland","Costa Rica"
0,"G","England","Belgium"
0,"H","Senegal","Colombia"
0,"G","Panama","Tunisia"
0,"H","Japan","Poland"
